Country,Score,Rank,Year,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Bulgaria,5.266,88,2021,10.016,0.931,67.000,0.788,-0.096,0.932
Maldives,5.198,89,2021,9.826,0.913,70.600,0.854,0.024,0.825
Azerbaijan,5.171,90,2021,9.569,0.836,65.656,0.814,-0.223,0.506
Cameroon,5.142,91,2021,8.189,0.710,53.515,0.731,0.026,0.848
Senegal,5.132,92,2021,8.118,0.710,59.802,0.695,-0.046,0.801
Albania,5.117,93,2021,9.520,0.697,68.999,0.785,-0.030,0.901
North Macedonia,5.101,94,2021,9.693,0.805,65.474,0.751,0.038,0.905
Ghana,5.088,95,2021,8.580,0.727,57.586,0.807,0.123,0.848
Niger,5.074,96,2021,7.098,0.641,53.780,0.806,0.018,0.693
Turkmenistan,5.066,97,2021,9.629,0.983,62.409,0.877,0.273,0.888
Gambia,5.051,98,2021,7.686,0.690,55.160,0.697,0.424,0.746
Benin,5.045,99,2021,8.087,0.489,54.713,0.757,-0.034,0.661
Laos,5.030,100,2021,8.947,0.728,58.968,0.910,0.123,0.658
Bangladesh,5.025,101,2021,8.454,0.693,64.800,0.877,-0.041,0.682
Guinea,4.984,102,2021,7.838,0.639,55.008,0.697,0.095,0.766
South Africa,4.956,103,2021,9.403,0.860,56.904,0.749,-0.067,0.860
Turkey,4.948,104,2021,10.240,0.822,67.199,0.576,-0.139,0.776
Pakistan,4.934,105,2021,8.458,0.651,58.709,0.726,0.098,0.787
Morocco,4.918,106,2021,8.903,0.560,66.208,0.774,-0.236,0.801
Venezuela,4.892,107,2021,9.073,0.861,66.700,0.615,-0.169,0.827
Georgia,4.891,108,2021,9.585,0.671,64.300,0.783,-0.238,0.655
Algeria,4.887,109,2021,9.342,0.802,66.005,0.480,-0.067,0.752
Ukraine,4.875,110,2021,9.436,0.888,64.902,0.724,-0.011,0.924
Iraq,4.854,111,2021,9.240,0.746,60.583,0.630,-0.053,0.875
Gabon,4.852,112,2021,9.603,0.776,59.962,0.731,-0.200,0.840
Burkina Faso,4.834,113,2021,7.678,0.672,54.151,0.695,-0.009,0.748
Cambodia,4.830,114,2021,8.360,0.765,62.000,0.959,0.034,0.843
Mozambique,4.794,115,2021,7.158,0.744,54.706,0.882,0.061,0.684
Nigeria,4.759,116,2021,8.533,0.740,50.102,0.737,0.037,0.878
Mali,4.723,117,2021,7.744,0.724,51.969,0.697,-0.036,0.827
Iran,4.721,118,2021,9.584,0.710,66.300,0.608,0.218,0.714
Uganda,4.636,119,2021,7.677,0.781,56.101,0.709,0.122,0.855
Liberia,4.625,120,2021,7.288,0.720,56.498,0.735,0.050,0.850
Kenya,4.607,121,2021,8.361,0.688,60.704,0.779,0.287,0.825
Tunisia,4.596,122,2021,9.266,0.691,67.201,0.656,-0.201,0.870
Lebanon,4.584,123,2021,9.626,0.848,67.355,0.525,-0.073,0.898
Namibia,4.574,124,2021,9.161,0.818,56.799,0.719,-0.149,0.847
Palestinian Territories,4.517,125,2021,8.485,0.826,62.250,0.653,-0.163,0.821
Myanmar,4.426,126,2021,8.541,0.779,59.302,0.876,0.509,0.660
Jordan,4.395,127,2021,9.182,0.767,67.000,0.755,-0.167,0.705
Chad,4.355,128,2021,7.364,0.619,48.478,0.579,0.041,0.807
Sri Lanka,4.325,129,2021,9.470,0.827,67.299,0.841,0.079,0.863
Swaziland,4.308,130,2021,9.065,0.770,50.833,0.647,-0.185,0.708
Comoros,4.289,131,2021,8.031,0.626,57.349,0.548,0.082,0.781
Egypt,4.283,132,2021,9.367,0.750,61.998,0.749,-0.182,0.795
Ethiopia,4.275,133,2021,7.694,0.764,59.000,0.752,0.082,0.761
Mauritania,4.227,134,2021,8.542,0.795,57.161,0.561,-0.106,0.731
Madagascar,4.208,135,2021,7.396,0.686,59.305,0.552,-0.005,0.803
Togo,4.107,136,2021,7.362,0.569,54.914,0.619,0.032,0.772
Zambia,4.073,137,2021,8.145,0.708,55.809,0.782,0.061,0.823
Sierra Leone,3.849,138,2021,7.434,0.630,51.651,0.717,0.084,0.866
India,3.819,139,2021,8.755,0.603,60.633,0.893,0.089,0.774
Burundi,3.775,140,2021,6.635,0.490,53.400,0.626,-0.024,0.607
Yemen,3.658,141,2021,7.578,0.832,57.122,0.602,-0.147,0.800
Tanzania,3.623,142,2021,7.876,0.702,57.999,0.833,0.183,0.577
Haiti,3.615,143,2021,7.477,0.540,55.700,0.593,0.422,0.721
Malawi,3.600,144,2021,6.958,0.537,57.948,0.780,0.038,0.729
Lesotho,3.512,145,2021,7.926,0.787,48.700,0.715,-0.131,0.915
Botswana,3.467,146,2021,9.782,0.784,59.269,0.824,-0.246,0.801
Rwanda,3.415,147,2021,7.676,0.552,61.400,0.897,0.061,0.167
Zimbabwe,3.145,148,2021,7.943,0.750,56.201,0.677,-0.047,0.821
Afghanistan,2.523,149,2021,7.695,0.463,52.493,0.382,-0.102,0.924
